Date,Cases (Total Δ=Daily Change),Deaths (Total Δ=Daily Change)
12/05/2020,18033: Δ=302,445: Δ=1
12/04/2020,17731: Δ=220,444: Δ=2
12/03/2020,17511: Δ=213,442: Δ=2
12/02/2020,17298: Δ=208,440: Δ=1
12/01/2020,17090: Δ=184,439: Δ=4
11/30/2020,16906: Δ=90,435: Δ=1
11/29/2020,16816: Δ=151,434: Δ=1
11/28/2020,16665: Δ=95,433: Δ=0
11/27/2020,16570: Δ=150,433: Δ=2
11/26/2020,16420: Δ=177,431: Δ=0
11/25/2020,16243: Δ=135,431: Δ=0
11/24/2020,16108: Δ=106,431: Δ=3
11/23/2020,16002: Δ=115,428: Δ=0
11/22/2020,15887: Δ=73,428: Δ=0
11/21/2020,15814: Δ=122,428: Δ=1
11/20/2020,15692: Δ=111,427: Δ=0
11/19/2020,15581: Δ=154,427: Δ=1
11/18/2020,15427: Δ=129,426: Δ=1
11/17/2020,15298: Δ=101,425: Δ=0
11/16/2020,15197: Δ=58,425: Δ=0
11/15/2020,15139: Δ=93,425: Δ=0
11/14/2020,15046: Δ=121,425: Δ=0
11/13/2020,14925: Δ=107,425: Δ=2
11/12/2020,14818: Δ=102,423: Δ=0
11/11/2020,14716: Δ=148,423: Δ=0
11/10/2020,14568: Δ=88,423: Δ=0
11/09/2020,14480: Δ=96,423: Δ=2
11/08/2020,14384: Δ=68,421: Δ=0
11/07/2020,14316: Δ=80,421: Δ=0
11/06/2020,14236: Δ=86,421: Δ=0
11/05/2020,14150: Δ=80,421: Δ=0
11/04/2020,14070: Δ=57,421: Δ=1
11/03/2020,14013: Δ=65,420: Δ=0
11/02/2020,13948: Δ=44,420: Δ=0
11/01/2020,13904: Δ=59,420: Δ=0
10/31/2020,13845: Δ=87,420: Δ=0
10/30/2020,13758: Δ=71,420: Δ=0
10/29/2020,13687: Δ=75,420: Δ=0
10/28/2020,13612: Δ=49,420: Δ=0
10/27/2020,13563: Δ=73,420: Δ=0
10/26/2020,13490: Δ=18,420: Δ=0
10/25/2020,13472: Δ=44,420: Δ=1
10/24/2020,13428: Δ=71,419: Δ=0
10/23/2020,13357: Δ=39,419: Δ=1
10/22/2020,13318: Δ=45,418: Δ=1
10/21/2020,13273: Δ=40,417: Δ=0
10/20/2020,13233: Δ=36,417: Δ=0
10/19/2020,13197: Δ=13,417: Δ=0
10/18/2020,13184: Δ=30,417: Δ=0
10/17/2020,13154: Δ=41,417: Δ=1
10/16/2020,13113: Δ=65,416: Δ=0
10/15/2020,13048: Δ=50,416: Δ=0
10/14/2020,12998: Δ=53,416: Δ=0
10/13/2020,12945: Δ=61,416: Δ=0
10/12/2020,12884: Δ=27,416: Δ=2
10/11/2020,12857: Δ=44,414: Δ=0
10/10/2020,12813: Δ=50,414: Δ=0
10/09/2020,12763: Δ=84,414: Δ=0
10/08/2020,12679: Δ=101,414: Δ=0
10/07/2020,12578: Δ=70,414: Δ=0
10/06/2020,12508: Δ=55,414: Δ=1
10/05/2020,12453: Δ=44,413: Δ=0
10/04/2020,12409: Δ=34,413: Δ=0
10/03/2020,12375: Δ=87,413: Δ=0
10/02/2020,12288: Δ=74,413: Δ=0
10/01/2020,12214: Δ=56,413: Δ=0
09/30/2020,12158: Δ=21,413: Δ=0
09/29/2020,12137: Δ=60,413: Δ=0
09/28/2020,12077: Δ=26,413: Δ=0
09/27/2020,12051: Δ=22,413: Δ=1
09/26/2020,12029: Δ=59,412: Δ=0
09/25/2020,11970: Δ=65,412: Δ=0
09/24/2020,11905: Δ=39,412: Δ=0
09/23/2020,11866: Δ=16,412: Δ=0
09/22/2020,11850: Δ=13,412: Δ=0
09/21/2020,11837: Δ=10,412: Δ=0
09/20/2020,11827: Δ=22,412: Δ=0
09/19/2020,11805: Δ=30,412: Δ=0
09/18/2020,11775: Δ=26,412: Δ=1
09/17/2020,11749: Δ=23,411: Δ=0
09/16/2020,11726: Δ=35,411: Δ=0
09/15/2020,11691: Δ=24,411: Δ=0
09/14/2020,11667: Δ=17,411: Δ=0
09/13/2020,11650: Δ=24,411: Δ=1
09/12/2020,11626: Δ=17,410: Δ=0
09/11/2020,11609: Δ=22,410: Δ=0
09/10/2020,11587: Δ=20,410: Δ=0
09/09/2020,11567: Δ=17,410: Δ=0
09/08/2020,11550: Δ=10,410: Δ=0
09/07/2020,11540: Δ=10,410: Δ=0
09/06/2020,11530: Δ=11,410: Δ=0
09/05/2020,11519: Δ=17,410: Δ=0
09/04/2020,11502: Δ=9,410: Δ=0
09/03/2020,11493: Δ=18,410: Δ=1
09/02/2020,11475: Δ=15,409: Δ=0
09/01/2020,11460: Δ=12,409: Δ=0
08/31/2020,11448: Δ=15,409: Δ=0
08/30/2020,11433: Δ=8,409: Δ=0
08/29/2020,11425: Δ=11,409: Δ=0
08/28/2020,11414: Δ=17,409: Δ=0
08/27/2020,11397: Δ=16,409: Δ=0
08/26/2020,11381: Δ=12,409: Δ=0
08/25/2020,11369: Δ=11,409: Δ=0
08/24/2020,11358: Δ=9,409: Δ=0
08/23/2020,11349: Δ=6,409: Δ=0
08/22/2020,11343: Δ=12,409: Δ=0
08/21/2020,11331: Δ=24,409: Δ=0
08/20/2020,11307: Δ=10,409: Δ=1
08/19/2020,11297: Δ=13,408: Δ=0
08/18/2020,11284: Δ=13,408: Δ=0
